line number	unstemmed tokens	stemmed tokens	proportion of tokens remaining	number of lines containing matching tokens	
1	22	7	0.3181818181818182	0	
2	25	6	0.24	0	
3	28	9	0.32142857142857145	0	
4	29	8	0.27586206896551724	0	
5	18	9	0.5	0	
6	20	13	0.65	0	
7	20	10	0.5	0	
8	24	8	0.3333333333333333	0	
9	21	5	0.23809523809523808	0	
10	28	8	0.2857142857142857	0	
11	17	8	0.47058823529411764	0	
12	25	7	0.28	0	
13	20	7	0.35	0	
14	18	9	0.5	0	
15	17	14	0.8235294117647058	0	
16	26	8	0.3076923076923077	0	
17	15	10	0.6666666666666666	0	
18	22	6	0.2727272727272727	0	
19	20	9	0.45	0	
20	17	7	0.4117647058823529	0	
21	22	9	0.4090909090909091	0	
22	25	9	0.36	0	
23	15	9	0.6	0	
24	13	7	0.5384615384615384	0	
25	19	7	0.3684210526315789	0	
26	19	5	0.2631578947368421	0	
27	20	10	0.5	0	
28	14	3	0.21428571428571427	0	
29	15	10	0.6666666666666666	0	
30	16	8	0.5	0	
31	25	12	0.48	0	
32	16	6	0.375	0	
33	22	9	0.4090909090909091	0	
34	14	12	0.8571428571428571	0	
35	18	6	0.3333333333333333	0	
36	21	8	0.38095238095238093	0	
37	18	9	0.5	0	
38	15	9	0.6	0	
39	16	10	0.625	0	
40	12	6	0.5	0	
41	10	5	0.5	0	
42	16	9	0.5625	0	
43	15	4	0.26666666666666666	0	
44	10	6	0.6	0	
45	9	5	0.5555555555555556	0	
46	12	4	0.3333333333333333	0	
47	10	8	0.8	0	
48	21	12	0.5714285714285714	0	
49	17	7	0.4117647058823529	0	
50	11	7	0.6363636363636364	0	
51	14	8	0.5714285714285714	0	
52	11	7	0.6363636363636364	0	
53	14	4	0.2857142857142857	0	
54	20	8	0.4	0	
55	17	7	0.4117647058823529	0	
56	11	7	0.6363636363636364	0	
57	14	5	0.35714285714285715	0	
58	11	6	0.5454545454545454	0	
59	17	10	0.5882352941176471	0	
60	7	6	0.8571428571428571	0	
61	17	7	0.4117647058823529	0	
62	14	4	0.2857142857142857	0	
63	17	5	0.29411764705882354	0	
64	15	8	0.5333333333333333	0	
65	10	7	0.7	0	
66	13	6	0.46153846153846156	0	
67	15	10	0.6666666666666666	0	
68	10	3	0.3	0	
69	11	3	0.2727272727272727	0	
70	13	5	0.38461538461538464	0	
71	6	4	0.6666666666666666	0	
72	7	3	0.42857142857142855	0	
73	11	6	0.5454545454545454	0	
74	8	2	0.25	0	
75	10	7	0.7	0	
76	14	9	0.6428571428571429	0	
77	12	6	0.5	0	
78	17	5	0.29411764705882354	0	
79	14	6	0.42857142857142855	0	
80	18	7	0.3888888888888889	0	
81	8	6	0.75	0	
82	15	5	0.3333333333333333	0	
83	12	11	0.9166666666666666	0	
84	11	6	0.5454545454545454	0	
85	15	5	0.3333333333333333	0	
86	10	6	0.6	0	
87	16	8	0.5	0	
88	8	3	0.375	0	
89	10	9	0.9	0	
90	8	5	0.625	0	
91	10	6	0.6	0	
92	16	5	0.3125	0	
93	13	7	0.5384615384615384	0	
94	7	5	0.7142857142857143	0	
95	10	8	0.8	0	
96	11	7	0.6363636363636364	0	
97	8	4	0.5	0	
98	8	6	0.75	0	
99	10	5	0.5	0	
100	8	3	0.375	0	
